target,r2,rmse,mae,model_path,parity_plot_path,best_params
N_sim,0.9701955706041586,81.88910526286968,53.44757325604878,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\rf_N_sim.joblib,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\plots\parity_rf_N_sim.png,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
S_sim,0.9736447907049713,73.76994064631981,42.64144088506038,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\rf_S_sim.joblib,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\plots\parity_rf_S_sim.png,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
