target,r2,rmse,mae,pipeline_path,parity_plot_path,best_params
N_sim,0.9857,56.62,30.07,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\svm_N_sim.joblib,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\plots\parity_svm_N_sim.png
S_sim,0.9402140866060219,111.1080776483436,51.97309565941856,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\svm_S_sim.joblib,C:\Users\hammammo\Desktop\Projet\environnement\Benchmark\evaluation\fidelite\ML_models\plots\parity_svm_S_sim.png,"{'model__C': 100, 'model__epsilon': 0.3, 'model__gamma': 'auto', 'model__kernel': 'rbf'}"
