model,R2_N,R2_S,MAE_N,MAE_S,MAPE_N,MAPE_S
SVM,0.9744391701126907,0.9415881911383389,40.13289010289014,57.750809112277345,9.943678191525251,26.01606751542862
RN,0.9510358293618173,0.9295819746760988,56.69370377319075,45.540631862261776,14.609584834582485,10.254867677819293
Lasso,0.8506727230624547,0.7779076601111521,104.07779947674783,114.8319292212044,26.143298331963855,61.2111793153678
poly,0.982880171263303,0.8736537618836029,28.744426014764617,89.0114877039798,6.4845109140629935,42.14786452557245
